@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {Non-VPN,VPN},,,,,,,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
9368711,16,4,1564818,1549373,190205.285714286,203290.456521739,389822.391916579,370323.71975366,10.3536121458,4802.6884381427,4,1523088,97590.7395833333,267600.198443351,1871488,1983656.33333333,2195089,183219.697914371,1234883,1420565,1523088,161096.539275367,Non-VPN
7340238,18,4,1567554,1527893,165686.977272727,186914.846153846,317267.548742198,304370.651301392,11.5800059889,4340.1862446422,4,1517774,87383.7857142857,221462.862027935,1491627,3572433,5653239,2942704.06586714,1131498,1324636,1517774,273138.379007784,Non-VPN
4644225,29,15,1270547,1079974,165865.178571429,195302.130434783,329473.126260763,300492.588226672,11.412022458,4161.5124159575,15,1079974,89312.0192307692,217475.425246434,1758922,1758922,1758922,0,1079974,1079974,1079974,0,Non-VPN
4978735,19,8,2492050,2457286,239543.25,276596.388888889,612435.304238344,628339.573543744,8.0341693221,3918.6660868675,8,2441990,127659.871794872,436959.716435875,1710925,2382905,3054885,950323.229642946,1346073,1894031.5,2441990,774930.342316972,Non-VPN
11838189,19,10,3094089,3093543,243766.5,295954.725,599721.781708801,625632.703972198,7.6025142021,2802.5401520452,10,3042717,133013.359550562,436129.639296405,1747431,2400446,3240696,623274.390468329,1394455,1983227,3042717,725987.829074978,Non-VPN
11771793,30,6,3149632,2964504,244008.020833333,255167.347826087,632857.385277182,607541.355369903,8.1550873346,3683.2961639743,6,2964504,123913.610526316,435676.952939631,1443143,2872733,3563174,965103.52482087,1065834,1933295,2964504,1008644.52279962,Non-VPN
13978645,17,7,2249885,2064514,215483.375,254157.181818182,484527.921324867,462592.986971292,8.6560607269,3046.003385879,7,2064514,116488.708333333,334260.19200433,1363299,2254176.2,3870047,1010713.69802207,1147658,1533121.8,2064514,421832.929402684,Non-VPN
13942087,22,6,2426308,2425956,231527.716666667,248101.035714286,516661.130190786,507941.688524774,8.4635822456,3683.8817603132,6,2375478,119163.136752137,363365.684614578,2076878,2741696.8,4001564,772121.497542291,1252392,1719479.4,2375478,430172.04695976,Non-VPN
7863522,30,8,2067690,2068091,244213.125,252051.483870968,571806.194574827,562812.286698527,8.2660161693,3567.8669176484,8,2017289,122867.53125,400581.17073558,2092947,2535198.66666667,3282729,650992.780391483,1707343,1897912,2017289,166786.859124153,Non-VPN
8259704,18,9,2321059,2278426,269051.3,330388.16,639533.232125757,637243.988848213,6.9009736911,2352.3845406567,9,2270116,147494.714285714,449957.584261701,2368851,2687726,3162320,419028.124008998,1702783,1980072,2270116,283881.490662037,Non-VPN
