@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {VPN-BROWSING,VPN-CHAT,VPN-STREAMING,VPN-MAIL,VPN-VOIP,VPN-P2P,VPN-FT},,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
119364082,119364082,119338343,9,17,58714597,58776480,32702.4882191781,20131.2994264507,80.2586493314,70436.7499764293,0,58714597,12461.01701639,845678.238767331,58776675,59700000,60561891,1262338.33948233,58343493,58500000,58714597,262410.154923547,VPN-BROWSING
93952224,93736153,93738835,6,7,45211965,45220727,37645.0413654618,28319.8897280967,61.7547914566,49509.0249273929,1,45006375,16195.8669194966,835567.164238809,45211965,46900000,48524188,2342095.34410184,44997633,45000000,45006375,6181.5274002466,VPN-BROWSING
73934090,73802530,73804692,3,14,27749148,27746116,55117.6474981329,25189.3146757679,57.7676684734,52235.0920935119,3,27617038,17314.775175644,518176.184989578,1498361,9157562.25,27923646,9267157.39890622,1115996,7350661.75,27617038,10100000,VPN-BROWSING
42933658,42803851,42933658,0,0,5957694,5958561,31706.5562962963,16055.9678384443,93.7725828067,83286.9400506242,-9,5828435,10666.7473291925,162363.675416476,1630161,5265231,11355159,3133671.36514976,1308911,3334209.875,5828435,1382746.96402497,VPN-BROWSING
270207,203681,244006,15,10,27147,66572,593.8221574344,363.1041666667,3763.7811011558,3479554.56372337,3,66526,265.9517716535,2648.2935975742,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
118033511,118033511,118007383,23,10,58938340,59002394,379528.974276527,172022.424198251,8.4636980764,7954.8510592047,0,58938340,118270.051102204,2629948.2468839,59002735,59000000,59004834,1484.2167968326,58618250,58800000,58938340,226337.809587793,VPN-BROWSING
55595001,55424950,55464526,32,23,23772662,23731260,170015.18404908,88038.9301587302,17.2317651366,15322.5647032545,8,23598957,58093,1023972.52314642,15447930,18400000,24327021,5106593.46429788,14941349,17800000,23598957,4979308.24955122,VPN-BROWSING
70879295,55916114,70739980,13,10,45018141,45157574,122354.735229759,123455.462478185,14.5599642321,11238.2748727961,2,45018141,68748.1037827352,1494816.19712197,10738389,23600000,45177725,18800000,7696125,22500000,45018141,19800000,VPN-BROWSING
1314540,1314535,1183635,7,17,132666,131525,4095.1246105919,2320.8529411765,633.6817441843,547879.866721439,1,131289,1579.9759615385,11183.8142083152,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
74937639,74937639,74873632,8,11,58039272,58039496,291586.143968872,136880.49725777,10.7556097411,9322.9385035736,3,58014039,93090.2347826087,2113450.62464761,1415482,25000000,58204118,29600000,1361674,24900000,58014039,29500000,VPN-BROWSING
98166217,98166184,98166106,3,9,23243452,23306900,229360.242990654,137873.744382022,11.6333300284,7374.3597555562,3,23243452,86035.2471516214,1115079.871941,1645401,7539145.38461539,23281585,8143650.47760298,1453279,6965511.07692308,23243452,8132933.86628283,VPN-BROWSING
64999929,64999929,64934941,11,11,58386458,58346734,335051.180412371,170881.423684211,8.8615481411,7825.0393165814,1,58321353,113043.354782609,2444877.06369427,6385743,32500000,58549321,36900000,6080986,32200000,58321353,36900000,VPN-BROWSING
119960661,119483773,119908114,3,0,7010702,6909339,330979.980609418,201188.110738255,7.9942873939,4309.6794873446,0,6778155,125219.896659708,456610.416589569,1305781,7520705.33333333,22209933,6123488.13956753,1010431,2913416.8,6778155,1948350.50916379,VPN-BROWSING
100207594,100182057,100181910,22,14,58246240,58246482,753248.54887218,461667.788018433,3.5127078293,2794.1794511103,3,58221015,285491.720797721,3780732.45697406,40574562,50100000,59577133,13400000,40510604,49400000,58221015,12500000,VPN-BROWSING
116066649,116001269,116041089,2,12,17885264,17796079,290729.997493734,231618.94011976,7.7713969325,3720.9310660808,2,17796079,128819.810210877,1215073.49771334,3730975,10500000,18658885,5374334.52839877,3692911,9756498.90909091,17796079,5429313.54312219,VPN-BROWSING
91725424,91524990,91524139,2,17,45199951,45262593,933928.469387755,520023.517045455,3.0089803673,2643.7272178758,1,45024030,333546.996363636,3831261.33587359,45199951,45800000,46325039,795557.354230982,45000444,45000000,45024030,16677.820511086,VPN-BROWSING
119941617,119864941,119941617,26,0,9773573,9592825,183560.399693721,125461.942468619,13.4315347775,2668.7817623803,0,9592825,74497.898757764,414900.631246741,1173271,5088964.17391304,26700392,5223663.20274239,1018642,2864147.95652174,9592825,1933842.04171667,VPN-BROWSING
119845953,119845953,119765192,3,0,12866575,12918003,479383.812,315171.557894737,5.2734363087,2682.5519923898,0,12866455,189930.194928685,842127.810926837,1664945,5447444.45454545,28980118,6127969.54733064,1064627,3188806.40909091,12866455,3277219.09787749,VPN-BROWSING
65251194,65251194,65189640,28,18,58758072,58718659,709252.108695652,385737.514792899,4.0305775861,3298.9741153242,7,58692892,249050.358778626,3639363.37205229,6404373,32600000,58784792,37000000,5258623,32000000,58692892,37800000,VPN-BROWSING
116676775,116612417,116651166,3,14,58275355,58275677,332229.108262108,285909.720588235,6.5222920328,3068.4512834709,1,58249956,153522.072368421,2326416.07355433,2025631,12900000,58362349,18500000,1637624,12100000,58249956,18700000,VPN-BROWSING
119860656,119814722,119860656,3,0,20044543,20291316,493064.699588477,337635.650704225,5.0058127498,2694.0199626473,0,20044543,200101.262103506,1009877.1437117,1164611,5342039.40909091,23765863,5925554.25884671,1000432,3265340.36363636,20044543,4240735.05268503,VPN-BROWSING
