@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {BROWSING,CHAT,STREAMING,MAIL,VOIP,P2P,FT},,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
14993462,14993462,14967812,0,0,823486,854818,873.1342883764,287.9145170908,4612.7438746302,4865795.30464679,0,823486,216.7938403702,7050.7812730412,-1,0,-1,0,-1,0,-1,0,BROWSING
14463281,14463281,14432214,0,0,742368,742339,1321.3302576284,312.2909507941,3952.2152684443,4472423.58079056,0,742294,253.0270814017,6982.0368457703,-1,0,-1,0,-1,0,-1,0,BROWSING
14997099,14997042,14997087,1,0,537201,565232,1850.1162102147,344.8557533113,3440.3987064432,4050644.59466461,0,537201,290.6696191491,5560.2603685647,-1,0,-1,0,-1,0,-1,0,BROWSING
14999980,14999919,14999956,2,0,954084,954052,1796.8278629612,382.8374977668,3168.7375583168,3652553.13673752,0,954018,315.5897328003,9375.1052489276,-1,0,-1,0,-1,0,-1,0,BROWSING
14989090,14989090,14964771,2,0,1014690,1016593,1668.7920285015,394.5885563612,3129.5428875269,3539675.59071298,0,1014624,319.5422955573,9205.4613377396,9578088,9578088,9578088,0,1014624,1014624,1014624,0,BROWSING
14866629,14866590,14856888,3,0,1399330,1211310,2669.5259472078,560.2778594864,2158.3911187937,2493866.09432441,0,1208289,463.322498208,15324.4083830632,1753114,2932407.5,3999951,976090.773364855,1133281,1170766,1208289,31592.0450166388,BROWSING
14997616,14997616,14971193,2,0,957051,757034,2881.3863592699,770.1230967078,1643.3945235029,1815634.49817624,0,756990,608.5213016311,8275.6841719921,-1,0,-1,0,-1,0,-1,0,BROWSING
14997816,14997768,14997765,7,0,316297,346578,7104.5798199905,1399.8287287661,855.2578588776,998572.725522169,0,316297,1169.3291751131,5399.2221398834,-1,0,-1,0,-1,0,-1,0,BROWSING
14988801,14988733,14988767,7,0,442870,472021,7901.282551397,1411.2387722437,835.2902944005,989801.786013438,0,442870,1197.2842080038,8244.0263430224,-1,0,-1,0,-1,0,-1,0,BROWSING
14992813,14992763,14992771,7,0,2894671,2923147,8950.9032835821,1658.8593715424,714.6757583117,842177.982210543,0,2894671,1399.3665297741,28901.0178805996,14702325,14700000,14702325,0,2894671,2894671,2894671,0,BROWSING
14813266,14813215,14813251,7,0,498964,595031,8284.7958612975,1912.1274041565,643.8148076191,731775.288447531,0,498964,1553.4045721477,13362.8704926161,-1,0,-1,0,-1,0,-1,0,BROWSING
